"Primary_septa_number","Mean_Primary_septa"
"PSepta_polyp1_1",61.6658
"PSepta_polyp1_2",49.744
"PSepta_polyp1_3",51.1814
"PSepta_polyp1_4",41.2174
"PSepta_polyp1_5",45.6134
"PSepta_polyp10_1",83.003
"PSepta_polyp10_2",74.202
"PSepta_polyp10_3",76.737
"PSepta_polyp10_4",76.0758
"PSepta_polyp10_5",69.3496
"PSepta_polyp3_1",109.0278
"PSepta_polyp3_2",61.5474
"PSepta_polyp3_3",104.6528
"PSepta_polyp3_4",87.6608
"PSepta_polyp3_5",113.0682
"PSepta_polyp4_1",84.1988
"PSepta_polyp4_2",88.4966
"PSepta_polyp4_3",74.239
"PSepta_polyp4_4",84.8046
"PSepta_polyp4_5",60.736
"PSepta_polyp5_1",84.291
"PSepta_polyp5_2",89.1262
"PSepta_polyp5_3",64.8198
"PSepta_polyp5_4",66.4694
"PSepta_polyp5_5",56.2624
"PSepta_polyp6_1",66.572
"PSepta_polyp6_2",57.2198
"PSepta_polyp6_3",68.8476
"PSepta_polyp6_4",97.099
"PSepta_polyp6_5",75.6614
"PSepta_polyp7_1",56.1586
"PSepta_polyp7_2",97.4722
"PSepta_polyp7_3",67.5618
"PSepta_polyp7_4",58.3246
"PSepta_polyp7_5",64.1708
"PSepta_polyp8_1",62.1938
"PSepta_polyp8_2",68.3254
"PSepta_polyp8_3",77.9466
"PSepta_polyp8_4",101.8796
"PSepta_polyp8_5",90.3094
"PSepta_polyp9_1",75.8984
"PSepta_polyp9_2",65.4424
"PSepta_polyp9_3",62.0118
"PSepta_polyp9_4",55.1636
