"Secondary_septa_number","Mean_Secondary_septa"
"SSepta_polyp1_1",34.8394
"SSepta_polyp1_2",30.9008
"SSepta_polyp1_3",41.953
"SSepta_polyp1_4",25.643
"SSepta_polyp1_5",28.4434
"SSepta_polyp10_1",47.4544
"SSepta_polyp10_2",81.7062
"SSepta_polyp10_3",44.2984
"SSepta_polyp10_4",43.9762
"SSepta_polyp10_5",44.869
"SSepta_polyp3_1",49.954
"SSepta_polyp3_2",54.6392
"SSepta_polyp3_3",41.4424
"SSepta_polyp3_4",61.9908
"SSepta_polyp3_5",58.0516
"SSepta_polyp4_1",35.6848
"SSepta_polyp4_2",72.2568
"SSepta_polyp4_3",47.7152
"SSepta_polyp4_4",51.2632
"SSepta_polyp4_5",40.8208
"SSepta_polyp5_1",43.6886
"SSepta_polyp5_2",39.0154
"SSepta_polyp5_3",40.9866
"SSepta_polyp5_4",40.3172
"SSepta_polyp5_5",26.0956
"SSepta_polyp6_1",35.6666
"SSepta_polyp6_2",44.077
"SSepta_polyp6_3",26.8162
"SSepta_polyp6_4",47.5344
"SSepta_polyp6_5",36.5032
"SSepta_polyp7_1",44.6338
"SSepta_polyp7_2",37.2938
"SSepta_polyp7_3",39.882
"SSepta_polyp7_4",39.9124
"SSepta_polyp7_5",53.1712
"SSepta_polyp8_1",42.453
"SSepta_polyp8_2",41.106
"SSepta_polyp8_3",50.1002
"SSepta_polyp8_4",57.288
"SSepta_polyp8_5",37.5808
"SSepta_polyp9_1",50.4736
"SSepta_polyp9_2",39.49
"SSepta_polyp9_3",39.543
"SSepta_polyp9_4",NA
