"Tertiary_septa_number","Mean_Tertiary_septa"
"TSepta_polyp1_1",NA
"TSepta_polyp1_2",NA
"TSepta_polyp1_3",NA
"TSepta_polyp1_4",NA
"TSepta_polyp1_5",NA
"TSepta_polyp10_1",NA
"TSepta_polyp10_2",NA
"TSepta_polyp10_3",NA
"TSepta_polyp10_4",NA
"TSepta_polyp10_5",NA
"TSepta_polyp3_1",25.0338
"TSepta_polyp3_2",30.7242
"TSepta_polyp3_3",NA
"TSepta_polyp3_4",NA
"TSepta_polyp3_5",NA
"TSepta_polyp4_1",NA
"TSepta_polyp4_2",NA
"TSepta_polyp4_3",NA
"TSepta_polyp4_4",NA
"TSepta_polyp4_5",NA
"TSepta_polyp5_1",33.3918
"TSepta_polyp5_2",35.4322
"TSepta_polyp5_3",38.6546
"TSepta_polyp5_4",29.0386666666667
"TSepta_polyp5_5",NA
"TSepta_polyp6_1",NA
"TSepta_polyp6_2",NA
"TSepta_polyp6_3",NA
"TSepta_polyp6_4",NA
"TSepta_polyp6_5",NA
"TSepta_polyp7_1",NA
"TSepta_polyp7_2",NA
"TSepta_polyp7_3",NA
"TSepta_polyp7_4",NA
"TSepta_polyp7_5",NA
"TSepta_polyp8_1",NA
"TSepta_polyp8_2",NA
"TSepta_polyp8_3",NA
"TSepta_polyp8_4",NA
"TSepta_polyp8_5",NA
"TSepta_polyp9_1",NA
"TSepta_polyp9_2",NA
"TSepta_polyp9_3",NA
"TSepta_polyp9_4",NA
